Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date
Maahi Ve,A.R. Rahman,Highway,4MRvvPTLIVBHVEMfVC20jI,1sbW5E7w8tnqpYk0Frx8QG,69,2014-01-22
"Tose Naina (From ""Mickey Virus)",Arijit Singh,Love Dose Arijit Singh,5aRPSAhsXgpXhxRF8q1aLI,2fMlezwwP5Hr1UwuAknN4o,61,2016-02-11
Isq Risk,"Sohail Sen, Rahat Fateh Ali Khan, Irshad Kamil",Mere Brother Ki Dulhan,6NoosYEOmTm4PNXtDnIktN,0rxEPf4Y6uBmV3hkrV340a,65,2011-08-09
Nadaan Parinde,"A.R. Rahman, Mohit Chauhan",Rockstar,3RZxrS2dDZlbsYtMRM89v8,6Z394Nd4gW6Ts9hmu3NUjx,63,2011-10-01
Nadaan Parinde,"A.R. Rahman, Mohit Chauhan",Rockstar,3RZxrS2dDZlbsYtMRM89v8,6Z394Nd4gW6Ts9hmu3NUjx,63,2011-10-01
Pehla Pyaar,"Vishal Mishra, Armaan Malik",Kabir Singh,3uuu6u13U0KeVQsZ3CZKK4,0ojpEubhy4JNeVftmVuiN7,70,2019-06-14
Pehla Pyaar,"Vishal Mishra, Armaan Malik",Kabir Singh,3uuu6u13U0KeVQsZ3CZKK4,0ojpEubhy4JNeVftmVuiN7,70,2019-06-14
Abhi Na Jao Chhod Kar,"Asha Bhosle, Mohammed Rafi","Baarishein, Chai Aur Rafi",03jqioEplk3k6vr7umxs7u,5J5h8d9wvvdHQNnuF4rkPJ,56,2023-07-12
Subhanallah,"Pritam, Sreeram, Shilpa Rao",Yeh Jawaani Hai Deewani,2Lxoc72vRTGdQfMvj7Ovi1,0GQngE2rOYvlKwEQjTAsP8,73,2013-03-30
"Kabhi Jo Baadal Barse (From ""Jackpot)",Arijit Singh,Love Dose Arijit Singh,5aRPSAhsXgpXhxRF8q1aLI,2dOWkdPfiT9SU2Wm734Rh6,62,2016-02-11
